Question,Type,Reference,Answer
"Situation question: who said it, and to whom: ""How can I be sure of this? I am an old man and my wife is well along in years.""?",Situation,Luke 1:18,"Zechariah said it to the angel [OR to Gabriel] (Luke 1:18)"
"According to Luke, chapter 8, verse 39, where did the man tell how much Jesus had done for him?",According-To,Luke 8:39,"All over town (Luke 8:39)"
"Who has no place to store his crops?",General,Luke 12:17,"A certain rich man (Luke 12:17)"
"What did a Samaritan bandage?",General,Luke 10:34,"The man's wounds (Luke 10:34)"
"According to Luke, chapter 15, verse 24, who is found?",According-To,Luke 15:24,"This son of mine (Luke 15:24)"
"Whom is whoever is not with Jesus against?",General,Luke 11:23,"Jesus (Luke 11:23)"
"With what was a beggar named Lazarus covered?",General,Luke 16:20,"Sores (Luke 16:20)"
"Who pretended to be sincere?",General,Luke 20:20,"Spies (Luke 20:20)"
"Who taught the people on the Sabbath?",General,Luke 4:31,"Jesus (Luke 4:31)"
"Quote Luke, chapter 12, verses 22 through 23.",Quote,Luke 12:22-23,"""Then Jesus said to his disciples: 'Therefore I tell you, do not worry about your life, what you will eat; or about your body, what you will wear. For life is more than food, and the body more than clothes.'"" (Luke 12:22-23)"
"When did the Lord's heart go out to her?",General,Luke 7:13,"When the Lord saw her (Luke 7:13)"
"According to Luke, chapter 14, verse 15, who heard this?",According-To,Luke 14:15,"One of those at the table with Jesus (Luke 14:15)"
"What is a light for revelation to the Gentiles?",General,Luke 2:32,"The Sovereign Lord's salvation (Luke 2:32)"
"Where did Jesus see two boats?",General,Luke 5:2,"At the water's edge (Luke 5:2)"
"According to Luke, chapter 19, verse 24, what should you take away from him?",According-To,Luke 19:24,"His mina (Luke 19:24)"
"Finish this verse: ""No one can serve two...""",Verse,Luke 16:13,"""...masters. Either you will hate the one and love the other, or you will be devoted to the one and despise the other. You cannot serve both God and money."" (Luke 16:13)"
"Complete, in essence, the following: ""It is like yeast that...""",Context,Luke 13:21,"""...a woman took and mixed into about sixty pounds of flour until it worked all through the dough."" (Luke 13:21)"
"Who heard music and dancing when he came near the house?",General,Luke 15:25,"The older son (Luke 15:25)"
"According to Luke, chapter 3, verse 3, where did he go?",According-To,Luke 3:3,"Into all the country around the Jordan (Luke 3:3)"
"How did the seventy-two return?",General,Luke 10:17,"With joy (Luke 10:17)"
"Who said to them all, ""Whoever wants to be my disciple must deny themselves and take up their cross daily and follow me.""?",General,Luke 9:23,"Jesus (Luke 9:23)"
"Finish this verse and give the reference: ""Looking at his disciples, he...""",Reference,Luke 6:20,"""...said: 'Blessed are you who are poor, for yours is the kingdom of God.'"" (Luke 6:20)"
"According to Luke, chapter 1, verse 26, what is a town in Galilee?",According-To,Luke 1:26,"Nazareth (Luke 1:26)"
"What region is across the lake from Galilee?",General,Luke 8:26,"The region of the Gerasenes (Luke 8:26)"
"Where did Lot leave?",General,Luke 17:29,"Sodom (Luke 17:29)"
"Situation question: who said it, to whom, and what was the reply: ""Lord, I want to see.""?",Situation,Luke 18:41-42,"A blind man said it to Jesus, and the reply was, ""Receive your sight; your faith has healed you."" (Luke 18:41-42)"
"Who said to Jesus, ""Lord, teach us to pray, just as John taught his disciples.""?",General,Luke 11:1,"One of Jesus' disciples (Luke 11:1)"
"Who came carrying a paralyzed man on a mat?",General,Luke 5:18,"Some men (Luke 5:18)"
"What did Anna never leave?",General,Luke 2:37,"The temple (Luke 2:37)"
"Quote Luke, chapter 14, verse 11.",Quote,Luke 14:11,"""For all those who exalt themselves will be humbled, and those who humble themselves will be exalted."" (Luke 14:11)"
"According to Luke, chapter 9, verse 54, who saw this?",According-To,Luke 9:54,"The disciples James and John (Luke 9:54)"
"Who replied, ""Caesar's.""?",General,Luke 20:24,"The spies (Luke 20:24)"
"What were people doing up to the day Noah entered the ark?",General,Luke 17:27,"Eating, drinking, marrying and being given in marriage (Luke 17:27)"
"Finish this verse and give the reference: ""John answered them all, 'I...""",Reference,Luke 3:16,"""...baptize you with water. But one who is more powerful than I will come, the straps of whose sandals I am not worthy to untie. He will baptize you with the Holy Spirit and fire.'"" (Luke 3:16)"
"According to Luke, chapter 16, verse 14, what did the Pharisees love?",According-To,Luke 16:14,"Money (Luke 16:14)"
"What will the Holy Spirit teach you when you are brought before synagogues, rulers and authorities?",General,Luke 12:11-12,"What you should say (Luke 12:11-12)"
"What are safe when a strong man, fully armed, guards his own house?",General,Luke 11:21,"His possessions (Luke 11:21)"
"From what Old Testament book does the following quotation come: ""I will send my messenger ahead of you, who will prepare your way before you.""?",Context,Luke 7:27,"Malachi (Luke 7:27)"
"According to Luke, chapter 15, verse 10, what is there over one sinner who repents?",According-To,Luke 15:10,"Rejoicing in the presence of the angels of God (Luke 15:10)"
"To whom did Jesus say, ""Today this scripture is fulfilled in your hearing.""?",General,Luke 4:20-21,"Everyone in the synagogue (Luke 4:20-21)"
"According to Luke, chapter 8, verse 32, what did Jesus give the demons?",According-To,Luke 8:32,"Permission to go into the pigs (Luke 8:32)"
"From where will people come and take their places at the feast in the kingdom of God?",General,Luke 13:29,"East and west and north and south (Luke 13:29)"
"From whom should you not withhold your shirt?",General,Luke 6:29,"Someone who takes your coat (Luke 6:29)"
"Finish this verse: ""All things have been committed...""",Verse,Luke 10:22,"""...to me by my Father. No one knows who the Son is except the Father, and no one knows who the Father is except the Son and those to whom the Son chooses to reveal him."" (Luke 10:22)"
"Who hung on Jesus' words?",General,Luke 19:48,"All the people (Luke 19:48)"
"Whom did Jesus ask, ""What do you want me to do for you?""",General,Luke 18:40-41,"The blind man (Luke 18:40-41)"
"Situation question: who said it, and about whom: ""He will bring back many of the people of Israel to the Lord their God.""?",Situation,Luke 1:16,"The angel [OR Gabriel] said it about John (Luke 1:16)"
"According to Luke, chapter 3, verse 24, of whom was Melki the son?",According-To,Luke 3:24,"Jannai (Luke 3:24)"
"In what were people being given up to the day Noah entered the ark?",General,Luke 17:27,"Marriage (Luke 17:27)"
"Situation question: who said it, to whom, and in reply to what: ""Have them sit down in groups of about fifty each.""?",Situation,Luke 9:13-14,"Jesus said it to his disciples, in reply to, ""We have only five loaves of bread and two fish - unless we go and buy food for all this crowd."" (Luke 9:13-14)"
"Whose hand was with John?",General,Luke 1:66,"The Lord's (Luke 1:66)"
"How many demons had come out from Mary Magdalene?",General,Luke 8:2,"Seven (Luke 8:2)"
"Finish these verses: ""Jesus answered, 'It is said:...""",Verse,Luke 4:12-13,"""...'Do not put the Lord your God to the test.'"" When the devil had finished all this tempting, he left him until an opportune time."" (Luke 4:12-13)"
"Why did the younger son say he would ask his father to make him like one of his hired servants?",Context,Luke 15:19,"Because he is no longer worthy to be called his son (Luke 15:19)"
"In what are the people of this world more shrewd than are the people of the light?",General,Luke 16:8,"Dealing with their own kind (Luke 16:8)"
"When did Jesus call his disciples to him and choose twelve of them?",General,Luke 6:13,"When morning came (Luke 6:13)"
"Quote Luke, chapter 11, verse 13.",Quote,Luke 11:13,"""If you then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give the Holy Spirit to those who ask him!"" (Luke 11:13)"
"Where will you see Abraham, Isaac and Jacob and all the prophets?",General,Luke 13:28,"In the kingdom of God (Luke 13:28)"
"Who said, ""Sir, what you ordered has been done, but there is still room.""?",General,Luke 14:22,"The servant (Luke 14:22)"
"According to Luke, chapter 5, verse 16, who prayed?",According-To,Luke 5:16,"Jesus (Luke 5:16)"
"Whom did a centurion value highly?",General,Luke 7:2,"His servant (Luke 7:2)"
"To whom did his master say, ""Take his mina away from him and give it to the one who has ten minas.""?",General,Luke 19:24,"Those standing by (Luke 19:24)"
"According to Luke, chapter 18, verse 21, what did he say?",According-To,Luke 18:21,"""All these I have kept since I was a boy."" (Luke 18:21)"
"Finish this verse and give the reference: ""For where your treasure is,...""",Reference,Luke 12:34,"""...there your heart will be also."" (Luke 12:34)"
"According to Luke, chapter 10, verse 23, what are the eyes that see what you see?",According-To,Luke 10:23,"Blessed (Luke 10:23)"
"To where did everyone go to register?",General,Luke 2:3,"Their own town (Luke 2:3)"
"Whom will the owner of the vineyard kill?",General,Luke 20:16,"Those tenants (Luke 20:16)"
"Than whom is the one who is least in the kingdom of God greater?",General,Luke 7:28,"John (Luke 7:28)"
"Quote Luke, chapter 12, verse 31.",Quote,Luke 12:31,"""But seek his kingdom, and these things will be given to you as well."" (Luke 12:31)"
"What does someone stronger divide up?",General,Luke 11:22,"His plunder (Luke 11:22)"
"What will I make your enemies?",General,Luke 20:43,"A footstool for your feet (Luke 20:43)"
"Finish this verse and give the reference: ""Jesus replied, 'What is impossible...""",Reference,Luke 18:27,"""...with man is possible with God.'"" (Luke 18:27)"
"According to Luke, chapter 19, verse 21, what are you?",According-To,Luke 19:21,"A hard man (Luke 19:21)"
"Who became pregnant and for five months remained in seclusion?",General,Luke 1:24,"(Zechariah's wife) Elizabeth (Luke 1:24)"
"Situation question: who said it, and to whom: ""What shall I do now? My master is taking away my job. I'm not strong enough to dig, and I'm ashamed to beg.""?",Situation,Luke 16:3,"The manager said it to himself (Luke 16:3)"
"Around whom did the glory of the Lord shine?",General,Luke 2:9,"Shepherds (Luke 2:9)"
"What did everyone give to God?",General,Luke 5:26,"Praise (Luke 5:26)"
"According to Luke, chapter 15, verse 12, what did the younger one say to his father?",According-To,Luke 15:12,"""Father, give me my share of the estate."" (Luke 15:12)"
"In Luke, chapter 13, when do each of you untie your ox or donkey from the stall and lead it out to give it water?",Context,Luke 13:15,"On the Sabbath (Luke 13:15)"
"Whom did Jesus ask, ""Who do the crowds say I am?""",General,Luke 9:18,"His disciples (Luke 9:18)"
"According to Luke, chapter 3, verse 5, what shall be filled in?",According-To,Luke 3:5,"Every valley (Luke 3:5)"
"Who called out in a loud voice, ""Jesus, Master, have pity on us!""?",General,Luke 17:12-13,"Ten men who had leprosy (Luke 17:12-13)"
"Finish this verse: ""However, do not rejoice that...""",Verse,Luke 10:20,"""...the spirits submit to you, but rejoice that your names are written in heaven."" (Luke 10:20)"
"According to Luke, chapter 6, verse 18, who were cured?",According-To,Luke 6:18,"Those troubled by impure spirits (Luke 6:18)"
"What stands for those with a noble and good heart, who hear the word, retain it, and by persevering produce a crop?",General,Luke 8:15,"The seed on good soil (Luke 8:15)"
"Who told his servant, ""Go out to the roads and country lanes and compel them to come in, so that my house will be full.""?",General,Luke 14:23,"The master (Luke 14:23)"
"Who had been brought up in Nazareth?",General,Luke 4:16,"Jesus (Luke 4:16)"
"In what book and chapter did Jesus say ""I will keep on driving out demons and healing people today and tomorrow""?",In-What-Book-and-Chapter,Luke 13:32,"Luke 13 (Luke 13:32)"
"In what book and chapter will people say 'Here it is' or 'There it is'?",In-What-Book-and-Chapter,Luke 17:21,"Luke 17 (Luke 17:21)"
